Item,Character,Pinyin,Tone,Duration,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30
Figure 2a,估,gu,1,200.4,252.7,253.7,254.8,255.7,256.2,256.5,256.7,256.6,256.3,255.8,255.1,254.1,252.8,251.3,249.5,247.4,244.5,240.2,235,231.3,229,227.2,225.7,224.5,223.4,222.3,221.3,220.3,219.2,218.2
Figure 2a,榾,gu,2,264.5,164.6,165.8,167.3,169.3,173.1,178.6,184.1,189.5,195,200.5,205.9,211.4,216.8,222.3,227.8,233.2,238.7,244.2,249.6,255.1,260.6,266,271.5,276.9,281.3,283.7,285.3,286.6,287.6,288.4
Figure 2a,古,gu,3,432.5,113.2,113.3,113.5,113.9,114.4,115,115.7,116.6,117.6,118.9,120.3,122.2,124.6,127.5,131,135,139.5,144.8,150.9,158.6,170.2,182.7,195.1,207.6,220.1,232.5,243.2,247.6,249.9,251.4
Figure 2a,固,gu,4,138.3,299.8,299.5,299.2,298.8,298.2,297.6,296.8,295.9,294.7,293.1,291,287.9,281.9,271.8,263.9,257.8,252.7,248,243.7,239.7,235.8,232.1,228.6,225.4,222.5,219.9,217.5,215.3,213.1,211.1
Figure 2e,嵯,cuo,1,195.5,185,185.6,186.2,186.7,187,187.1,187,186.9,186.5,186,185.2,184.1,182.4,180,176.3,171.4,165.7,160,154.7,150.1,146.1,142.7,139.9,137.3,135.1,133,131.1,129.6,128.3,127.1
Figure 2e,矬,cuo,2,213.9,138.2,138.8,139.4,140.1,140.8,141.9,143.3,145.1,147.2,149.4,151.7,154,156.3,158.6,160.9,163.2,165.5,167.8,170.1,172.4,174.7,177,179.3,181.6,183.7,185.4,186.7,187.5,188,188.5
Figure 2e,瑳,cuo,3,287.1,131.8,132,132.2,132.4,132.6,132.8,133,133.2,133.5,133.8,134.1,134.5,134.9,135.5,136.3,137.8,140.2,143.3,146.7,150.2,153.7,157.2,160.6,164.1,167.6,171,173.6,175.4,176.6,177.7
Figure 2e,措,cuo,4,131.6,232.3,232.2,232.1,231.8,231.5,230.9,230.1,228.7,226.1,220.8,212.7,200.4,188.5,180.6,174.7,169.7,165,160.6,156.6,154,152.1,150.6,149.2,148.1,147.1,146.3,145.5,144.7,144.1,143.4
