Item,Character,Pinyin,Tone,Duration,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30
,,,1,1.019,183.2,183.2,183.2,183.1,183.1,183,182.9,182.8,182.6,182.5,182.3,182.1,181.8,181.5,181.3,181,180.7,180.3,179.9,179.4,179,178.5,178,177.4,176.7,176,175.1,174.2,173.1,171.9
,,,2,1,119.1,121.2,123.3,125.3,127.3,129.3,131.2,133.1,135.1,137,138.9,140.9,142.8,144.7,146.8,148.8,151,153,155.1,157.1,159.1,161.2,163.1,165,167,168.9,170.8,172.6,174.3,175.9
,,,3,1.351,102.3,100.9,99.6,98.4,97.2,96.2,95.2,94.2,93.4,92.7,92,91.5,91,90.7,90.4,90.4,90.4,90.7,91.1,91.7,92.6,93.8,95.4,97.6,100.7,104.9,111.5,122.5,134.8,148
,,,4,1.014,172.5,170.3,167.9,165.7,163.4,161.2,158.9,156.5,154.1,151.6,149.1,146.4,143.7,141,138.1,135.4,132.3,129.3,126.2,123,119.8,116.4,113,109.7,106.3,102.9,99.5,96,92.7,89.3
