Item,Character,Pinyin,Tone,Duration,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30
Mean,,,1,205.5,177,179,179,179,178,177,177,177,177,174,,,,,,,,,,,,,,,,,,,,
Mean,,,2,270.6,123,128,130,133,138,148,159,171,178,181,,,,,,,,,,,,,,,,,,,,
Mean,,,3,376.2,120,115,107,102,103,108,121,135,149,159,,,,,,,,,,,,,,,,,,,,
Mean,,,4,187.4,201,203,200,193,181,166,149,135,121,107,,,,,,,,,,,,,,,,,,,,
Standard deviation,,,1,16.9,9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,
Standard deviation,,,2,38.7,8,6,8,8,9,9,10,9,8,9,,,,,,,,,,,,,,,,,,,,
Standard deviation,,,3,51.3,6,6,8,7,6,8,10,10,12,14,,,,,,,,,,,,,,,,,,,,
Standard deviation,,,4,41,13,13,14,15,15,15,15,16,17,17,,,,,,,,,,,,,,,,,,,,
